X,Y,Time
1319.3,171.8,1607623213289
1319.7,170.8,1607623213293
1320.4,170.1,1607623213297
1321.1,170.0,1607623213301
1321.4,170.2,1607623213305
1321.2,170.7,1607623213309
1320.4,171.5,1607623213313
1318.7,171.7,1607623213317
1317.2,171.5,1607623213321
1316.2,170.6,1607623213325
1316.1,169.1,1607623213329
1316.3,167.9,1607623213333
1316.3,167.1,1607623213337
1316.2,166.7,1607623213341
1316.2,167.0,1607623213345
1316.6,167.3,1607623213349
1317.0,167.8,1607623213353
1317.4,169.1,1607623213357
1317.5,170.5,1607623213361
1317.7,171.7,1607623213365
1317.9,172.3,1607623213369
1318.0,172.4,1607623213373
1318.4,172.3,1607623213377
1318.9,172.0,1607623213381
1319.8,171.6,1607623213385
1320.5,171.0,1607623213389
1320.8,170.7,1607623213393
1320.6,170.4,1607623213397
1320.0,170.6,1607623213401
1319.4,170.8,1607623213405
1318.8,171.2,1607623213409
1318.6,171.6,1607623213413
1318.4,172.0,1607623213417
1318.5,172.1,1607623213421
1318.9,171.4,1607623213425
1319.6,170.5,1607623213429
1321.2,169.6,1607623213433
1322.7,169.5,1607623213437
1324.1,169.9,1607623213441
1324.6,170.3,1607623213445
1324.5,170.3,1607623213449
1323.9,169.7,1607623213453
1323.4,168.3,1607623213457
1323.1,167.1,1607623213461
1322.9,165.8,1607623213465
1323.1,165.1,1607623213469
1323.8,164.2,1607623213473
1324.6,163.4,1607623213477
1325.0,163.0,1607623213481
1324.6,164.0,1607623213485
1324.1,165.4,1607623213489
1323.6,166.7,1607623213493
1322.5,167.6,1607623213497
1311.3,170.0,1607623213501
1278.5,178.0,1607623213505
1222.8,194.2,1607623213509
1154.1,219.7,1607623213513
1088.0,257.2,1607623213517
1032.6,302.8,1607623213521
986.9,350.3,1607623213525
948.1,391.5,1607623213529
915.4,425.5,1607623213533
893.8,447.8,1607623213537
883.3,461.4,1607623213541
882.8,464.6,1607623213545
884.8,460.3,1607623213549
885.7,456.6,1607623213553
881.8,458.2,1607623213557
877.7,463.8,1607623213561
873.8,469.7,1607623213565
873.0,471.9,1607623213569
873.1,470.2,1607623213573
872.8,468.1,1607623213577
872.3,466.2,1607623213581
871.7,465.9,1607623213585
871.3,466.6,1607623213589
871.3,467.3,1607623213593
871.2,468.1,1607623213597
871.0,468.4,1607623213601
870.1,468.3,1607623213605
868.6,468.4,1607623213609
867.1,468.3,1607623213613
865.9,468.1,1607623213617
865.5,467.5,1607623213621
865.5,466.6,1607623213625
866.1,465.7,1607623213629
866.8,464.5,1607623213633
867.3,463.5,1607623213637
866.8,463.0,1607623213641
865.8,463.0,1607623213645
864.7,463.2,1607623213649
864.2,463.2,1607623213653
864.8,462.5,1607623213657
865.6,461.3,1607623213661
866.0,460.0,1607623213665
865.5,459.4,1607623213669
864.7,459.3,1607623213673
864.6,459.2,1607623213677
865.4,459.0,1607623213681
866.4,459.0,1607623213685
866.3,459.5,1607623213689
865.3,460.1,1607623213693
863.8,459.9,1607623213697
862.7,459.3,1607623213701
862.7,457.9,1607623213705
866.9,456.3,1607623213709
878.1,452.5,1607623213713
893.4,446.0,1607623213717
903.3,438.9,1607623213721
903.9,434.3,1607623213725
897.6,432.8,1607623213729
891.7,433.5,1607623213733
890.7,433.8,1607623213737
892.1,433.3,1607623213741
893.7,432.7,1607623213745
895.1,432.1,1607623213749
895.5,432.0,1607623213753
894.7,432.1,1607623213757
893.2,432.1,1607623213761
891.6,432.1,1607623213765
890.4,431.7,1607623213769
890.2,430.8,1607623213773
890.9,429.7,1607623213777
891.5,428.8,1607623213781
891.6,428.5,1607623213785
890.5,429.4,1607623213789
889.3,430.5,1607623213793
888.4,431.3,1607623213797
888.2,431.6,1607623213801
887.5,431.4,1607623213805
886.5,431.7,1607623213809
885.6,432.3,1607623213813
884.8,433.0,1607623213817
884.3,433.7,1607623213821
883.3,434.7,1607623213825
882.5,435.6,1607623213829
882.3,435.5,1607623213833
882.4,434.8,1607623213837
882.5,433.7,1607623213841
882.0,432.9,1607623213845
881.3,433.1,1607623213849
880.7,433.9,1607623213853
880.2,434.4,1607623213857
880.0,434.2,1607623213861
879.9,433.3,1607623213865
879.7,431.9,1607623213869
879.1,431.4,1607623213873
878.5,431.6,1607623213877
877.7,432.1,1607623213881
876.6,432.9,1607623213885
875.6,433.6,1607623213889
874.9,434.6,1607623213893
874.7,435.3,1607623213897
875.2,435.5,1607623213901
875.7,435.3,1607623213905
876.1,435.4,1607623213909
876.4,436.1,1607623213913
876.8,436.8,1607623213917
877.0,435.9,1607623213921
877.1,434.1,1607623213925
877.2,431.9,1607623213929
877.1,430.3,1607623213933
877.4,429.6,1607623213937
877.5,429.3,1607623213941
877.6,429.7,1607623213945
877.8,429.8,1607623213949
877.7,429.7,1607623213953
877.7,429.5,1607623213957
878.6,430.0,1607623213961
880.3,431.4,1607623213965
882.0,432.7,1607623213969
882.9,433.5,1607623213973
882.5,433.5,1607623213977
881.7,433.1,1607623213981
881.1,432.7,1607623213985
880.9,431.8,1607623213989
880.9,430.6,1607623213993
881.0,429.4,1607623213997
881.1,428.8,1607623214001
881.2,428.6,1607623214005
881.1,428.5,1607623214009
880.4,428.6,1607623214013
879.7,428.9,1607623214017
879.1,428.9,1607623214021
879.0,428.7,1607623214025
879.1,428.8,1607623214029
878.9,429.2,1607623214033
878.7,430.2,1607623214037
878.5,430.6,1607623214041
878.6,430.4,1607623214045
879.3,429.4,1607623214049
880.0,428.0,1607623214053
880.7,426.6,1607623214057
881.0,425.6,1607623214061
881.1,424.9,1607623214065
881.2,423.8,1607623214069
881.0,422.8,1607623214073
880.9,421.6,1607623214077
880.4,420.8,1607623214081
880.1,420.6,1607623214085
879.8,419.5,1607623214089
879.7,418.5,1607623214093
879.8,417.3,1607623214097
879.8,416.8,1607623214101
879.6,416.8,1607623214105
878.6,416.7,1607623214109
877.4,416.5,1607623214113
876.4,416.5,1607623214117
875.9,416.6,1607623214121
876.3,416.0,1607623214125
877.1,414.5,1607623214129
878.5,413.0,1607623214133
879.3,412.5,1607623214137
880.0,412.8,1607623214141
879.3,413.9,1607623214145
877.6,414.0,1607623214149
876.0,413.5,1607623214153
874.7,413.1,1607623214157
874.5,413.0,1607623214161
874.7,413.8,1607623214165
875.2,414.4,1607623214169
875.9,414.8,1607623214173
876.7,415.0,1607623214177
877.1,415.7,1607623214181
876.9,416.0,1607623214185
876.7,416.2,1607623214189
875.8,417.0,1607623214193
875.3,417.3,1607623214197
875.4,417.6,1607623214201
876.4,417.7,1607623214205
878.6,417.3,1607623214209
879.8,416.9,1607623214213
879.9,416.8,1607623214217
878.5,416.8,1607623214221
876.9,417.0,1607623214225
875.8,416.7,1607623214229
875.9,416.3,1607623214233
875.8,415.9,1607623214237
875.3,415.9,1607623214241
874.8,416.0,1607623214245
874.1,415.8,1607623214249
874.0,415.5,1607623214253
874.1,415.3,1607623214257
873.8,414.9,1607623214261
873.7,413.9,1607623214265
874.2,412.8,1607623214269
874.8,411.9,1607623214273
875.4,411.7,1607623214277
875.7,411.9,1607623214281
876.0,411.9,1607623214285
876.4,411.6,1607623214289
876.7,411.2,1607623214293
876.2,411.6,1607623214297
875.4,412.4,1607623214301
874.6,412.7,1607623214305
874.0,411.6,1607623214309
873.6,409.8,1607623214313
873.8,408.8,1607623214317
874.8,409.1,1607623214321
875.9,409.3,1607623214325
876.1,409.0,1607623214329
875.5,408.1,1607623214333
874.8,408.0,1607623214337
874.4,408.9,1607623214341
874.3,409.9,1607623214345
874.3,410.7,1607623214349
874.3,411.1,1607623214353
874.6,411.2,1607623214357
875.1,411.0,1607623214361
875.2,410.8,1607623214365
875.1,411.2,1607623214369
874.7,411.7,1607623214373
874.3,412.0,1607623214377
874.0,411.7,1607623214381
873.6,411.3,1607623214385
873.1,411.0,1607623214389
872.5,410.9,1607623214393
871.3,410.9,1607623214397
870.1,411.4,1607623214401
869.2,412.0,1607623214405
868.4,413.1,1607623214409
868.3,414.0,1607623214413
868.4,414.4,1607623214417
868.3,413.0,1607623214421
868.4,410.9,1607623214425
868.6,408.9,1607623214429
868.8,408.0,1607623214433
869.7,408.1,1607623214437
870.7,408.0,1607623214441
870.9,407.6,1607623214445
870.8,407.0,1607623214449
870.1,406.8,1607623214453
869.5,406.5,1607623214457
869.0,406.1,1607623214461
868.0,405.7,1607623214465
867.2,405.4,1607623214469
866.5,405.4,1607623214473
866.2,406.0,1607623214477
866.0,406.9,1607623214481
865.9,407.8,1607623214485
865.6,408.5,1607623214489
865.1,409.0,1607623214493
864.4,409.5,1607623214497
863.9,409.6,1607623214501
863.7,409.6,1607623214505
863.8,409.5,1607623214509
864.0,408.6,1607623214513
864.4,407.3,1607623214517
864.6,405.8,1607623214521
864.7,404.6,1607623214525
865.2,404.3,1607623214529
866.4,404.3,1607623214533
867.5,404.7,1607623214537
868.1,405.0,1607623214541
867.5,405.7,1607623214545
866.6,406.6,1607623214549
866.0,407.3,1607623214553
865.8,408.1,1607623214557
865.5,408.7,1607623214561
864.9,408.9,1607623214565
864.4,408.4,1607623214569
863.9,407.5,1607623214573
863.8,406.9,1607623214577
864.1,407.6,1607623214581
864.5,408.5,1607623214585
864.4,409.2,1607623214589
863.9,409.4,1607623214593
863.1,409.3,1607623214597
862.4,408.8,1607623214601
861.6,408.0,1607623214605
860.0,406.7,1607623214609
858.5,405.6,1607623214613
857.1,404.8,1607623214617
856.8,404.8,1607623214621
857.0,405.1,1607623214625
856.8,405.4,1607623214629
856.1,405.8,1607623214633
855.9,405.8,1607623214637
855.8,405.6,1607623214641
856.3,405.2,1607623214645
856.6,404.5,1607623214649
856.5,403.6,1607623214653
856.6,402.8,1607623214657
856.6,402.3,1607623214661
856.1,402.5,1607623214665
854.6,403.4,1607623214669
853.5,404.0,1607623214673
852.7,404.5,1607623214677
853.1,404.6,1607623214681
853.5,404.5,1607623214685
853.6,404.4,1607623214689
853.1,404.4,1607623214693
852.3,404.9,1607623214697
