Task_Name,times,Trial_Nr,variable_name,X,Y,Task_ID
SmoothPursuit,1607623215203,1,PF1,1049.27221298218,793.26620221138,PF1_1
SmoothPursuit,1607623215287,1,PF1,1137.58692741394,778.99521946907,PF1_1
SmoothPursuit,1607623215370,1,PF1,1142.80526161194,769.729528427124,PF1_1
SmoothPursuit,1607623215453,1,PF1,1117.81003475189,767.4683618545531,PF1_1
SmoothPursuit,1607623215522,1,PF1,1070.70945739746,714.317203760147,PF1_1
SmoothPursuit,1607623215597,1,PF1,966.138720810413,708.0039167404179,PF1_1
SmoothPursuit,1607623215681,1,PF1,900.4694259166721,677.7487921714779,PF1_1
SmoothPursuit,1607623215764,1,PF1,1094.63257312775,726.414374113083,PF1_1
SmoothPursuit,1607623215850,1,PF1,1047.2682094574,702.838979959488,PF1_1
SmoothPursuit,1607623215922,1,PF1,1079.9916744232198,684.5665383338929,PF1_1
SmoothPursuit,1607623216005,1,PF1,1045.26798248291,667.755621671677,PF1_1
SmoothPursuit,1607623216080,1,PF1,1051.46337032318,706.454876661301,PF1_1
SmoothPursuit,1607623216164,1,PF1,1083.26253890991,696.1509132385249,PF1_1
SmoothPursuit,1607623216250,1,PF1,1043.37912082672,708.947850465775,PF1_1
SmoothPursuit,1607623216320,1,PF1,1136.2152671814,725.011718273163,PF1_1
SmoothPursuit,1607623216401,1,PF1,1100.46887397766,727.604727745056,PF1_1
SmoothPursuit,1607623216487,1,PF1,1149.37023639679,743.970472812653,PF1_1
SmoothPursuit,1607623216563,1,PF1,1182.21206188202,767.433182001114,PF1_1
SmoothPursuit,1607623216651,1,PF1,1193.94418716431,746.588298082352,PF1_1
SmoothPursuit,1607623216722,1,PF1,1140.80464839935,726.989804506302,PF1_1
SmoothPursuit,1607623216803,1,PF1,1116.16364479065,746.572204828262,PF1_1
SmoothPursuit,1607623216888,1,PF1,1164.58119392395,746.010646820068,PF1_1
SmoothPursuit,1607623216966,1,PF1,1144.16758060455,750.56568145752,PF1_1
SmoothPursuit,1607623217063,1,PF1,1169.86315727234,765.882178544998,PF1_1
SmoothPursuit,1607623217150,1,PF1,1126.89002037048,754.058593511581,PF1_1
SmoothPursuit,1607623217222,1,PF1,1061.1396074295,729.0106022357941,PF1_1
SmoothPursuit,1607623217305,1,PF1,1189.84683036804,757.8472673892979,PF1_1
SmoothPursuit,1607623217387,1,PF1,1154.7726631164599,757.171865701675,PF1_1
SmoothPursuit,1607623217467,1,PF1,1151.5930223465,748.831021785736,PF1_1
SmoothPursuit,1607623217556,1,PF1,1077.4884080886802,759.7496509552001,PF1_1
SmoothPursuit,1607623217621,1,PF1,1146.61000728607,772.158290147781,PF1_1
SmoothPursuit,1607623217705,1,PF1,1128.1257820129401,774.533525705338,PF1_1
SmoothPursuit,1607623217785,1,PF1,1107.82540798187,776.000071763992,PF1_1
SmoothPursuit,1607623217863,1,PF1,1119.2982530593902,761.6453719139099,PF1_1
